Mosquitoes,Location_effect,Forest_ratio,Lag_rain,Lag_temp,Bi-month_rain,Bi-month_temp,NDVI,Population,Bi-month_rain_center,Bi-month_rain_power,Rice_ratio,Water_ratio
0,2,0.04296875,80.18309021,34.64749908,35.75036621,31.41275024,0.120591857,17.98287964,-0.949633777,0.901804328,0.171875,0
2,2,0,85.48392487,35.05347824,37.42136765,33.29049301,0.224544436,69.36943817,0.721367657,0.520371258,0.01171875,0
2,2,0.0078125,85.48392487,35.09495926,37.42136765,33.31375122,0.230942503,60.75006866,0.721367657,0.520371258,0.05078125,0
2,2,0.06640625,80.18309021,34.63395691,35.75036621,31.46081161,0.121185735,18.04885101,-0.949633777,0.901804328,0.19921875,0
0,2,0,85.48392487,34.95546722,37.42136765,33.22463608,0.226217836,66.37884521,0.721367657,0.520371258,0.01953125,0
3,2,0.12109375,85.48392487,35.30875015,37.42136765,33.17333221,0.150026321,22.81391907,0.721367657,0.520371258,0.50390625,0.01171875
10,2,0,85.48392487,34.72140503,37.42136765,33.06927109,0.229923546,64.55627441,0.721367657,0.520371258,0.015625,0
1,2,0,85.48392487,34.72187424,37.42136765,33.06791687,0.231886774,64.62310791,0.721367657,0.520371258,0.015625,0.015625
30,2,0.02734375,85.48392487,34.72000122,37.42136765,33.07333374,0.245989442,53.58872604,0.721367657,0.520371258,0.10546875,0
9,2,0.01171875,85.48392487,34.72140503,37.42136765,33.06927109,0.235823601,63.76253128,0.721367657,0.520371258,0.03125,0.01953125
3,2,0.01171875,85.48392487,34.72082138,37.42136765,33.07096481,0.238238215,63.3031044,0.721367657,0.520371258,0.03515625,0.00390625
0,2,0.03515625,85.48392487,34.72000122,37.42136765,33.07333374,0.249684632,53.10132599,0.721367657,0.520371258,0.12890625,0
2,2,0.03515625,85.48392487,34.72000122,37.42136765,33.07333374,0.253516793,48.01635742,0.721367657,0.520371258,0.234375,0
22,1,0.05078125,77.74337006,35.5745697,36.33179092,31.75666046,0.154147476,45.78015137,-0.368209064,0.135577917,0.34765625,0
12,2,0.16015625,85.48392487,34.62297058,37.42136765,32.61375046,0.118441395,61.90954208,0.721367657,0.520371258,0.38671875,0
0,1,0.05859375,77.74337006,35.51867294,36.33179092,31.7455864,0.152136832,59.77735519,-0.368209064,0.135577917,0.34375,0
2,2,0.0859375,85.48392487,34.72164154,37.42136765,33.06859207,0.261674345,50.1706543,0.721367657,0.520371258,0.2421875,0.0625
6,2,0.04296875,80.18309021,34.61614609,35.75036621,31.65914154,0.118615046,20.43575668,-0.949633777,0.901804328,0.1171875,0
8,2,0.078125,85.48392487,34.72000122,37.42136765,33.07333374,0.254753172,51.78072357,0.721367657,0.520371258,0.20703125,0.0078125
3,1,0.3984375,80.18309021,33.50523376,35.75036621,30.65443802,0.154871166,11.0886631,-0.949633777,0.901804328,0.39453125,0
2,1,0.23046875,77.74337006,35.18234253,36.33179092,31.47101593,0.175180018,68.23573303,-0.368209064,0.135577917,0.25390625,0.01171875
4,1,0.05859375,77.74337006,35.59113312,36.33179092,31.7599411,0.14651601,68.99609375,-0.368209064,0.135577917,0.28125,0
136,1,0.05859375,77.74337006,35.62218857,36.33179092,31.76609421,0.146974191,63.15888214,-0.368209064,0.135577917,0.296875,0
4,2,0.0703125,80.18309021,34.61804581,35.75036621,31.66365242,0.117418617,21.07552338,-0.949633777,0.901804328,0.0859375,0
159,1,0.0078125,77.74337006,35.97000122,36.33179092,31.83499908,0.149793789,29.40789795,-0.368209064,0.135577917,0.453125,0
268,1,0.0078125,77.74337006,35.97000122,36.33179092,31.83499908,0.150458336,30.14880371,-0.368209064,0.135577917,0.46484375,0.00390625
10,2,0.24609375,80.18309021,34.57364655,35.75036621,31.26169968,0.13662754,16.47021866,-0.949633777,0.901804328,0.578125,0.02734375
1,2,0.234375,80.18309021,34.56666565,35.75036621,31.13999939,0.137748495,14.62808228,-0.949633777,0.901804328,0.53125,0
27,1,0.15234375,80.18309021,33.52000046,35.75036621,30.55599976,0.156845555,10.92636681,-0.949633777,0.901804328,0.46875,0.00390625
137,1,0.01953125,77.74337006,35.97000122,36.33179092,31.83499908,0.152028859,40.65236282,-0.368209064,0.135577917,0.41015625,0.00390625
4,1,0.27734375,80.18309021,33.46374893,35.75036621,30.93099976,0.142385483,11.21080589,-0.949633777,0.901804328,0.1484375,0.015625
22,1,0.44921875,80.18309021,33.50148392,35.75036621,30.67943764,0.15269199,11.05631638,-0.949633777,0.901804328,0.41796875,0.00390625
5,1,0.140625,80.18309021,33.52000046,35.75036621,30.55599976,0.156407654,10.9106636,-0.949633777,0.901804328,0.4453125,0.00390625
6,1,0.12890625,80.18309021,33.52000046,35.75036621,30.55599976,0.156374604,10.90748978,-0.949633777,0.901804328,0.44921875,0.00390625
1,1,0.14453125,80.18309021,33.52000046,35.75036621,30.55599976,0.156277329,10.9108181,-0.949633777,0.901804328,0.4296875,0.00390625
1,1,0.2421875,80.18309021,33.76843643,35.75036621,31.01976204,0.143015444,11.13773727,-0.949633777,0.901804328,0.10546875,0.0234375
25,1,0.02734375,77.74337006,35.88355637,36.33179092,32.03466034,0.13764897,117.4641418,-0.368209064,0.135577917,0.14453125,0.00390625
1,1,0.03125,77.74337006,35.85480499,36.33179092,32.03902435,0.143266767,121.3283615,-0.368209064,0.135577917,0.15625,0
1,1,0.07421875,80.18309021,34.89906311,35.75036621,31.29275703,0.139974877,11.30105877,-0.949633777,0.901804328,0.125,0.01171875
35,1,0.0078125,77.74337006,36.88060379,36.33179092,33.97700882,0.135614187,122.9874115,-0.368209064,0.135577917,0.11328125,0.00390625
0,1,0.25,80.18309021,36.34000015,35.75036621,31.875,0.147453785,11.08936882,-0.949633777,0.901804328,0.19921875,0.03125
1,1,0,77.74337006,36.97206879,36.33179092,34.13867188,0.12496154,152.8673401,-0.368209064,0.135577917,0.015625,0
1,1,0,77.74337006,36.29266357,36.33179092,33.38118362,0.131946117,155.3915558,-0.368209064,0.135577917,0.046875,0
2,1,0,77.74337006,36.25850296,36.33179092,33.34309769,0.133429572,155.8385773,-0.368209064,0.135577917,0.05078125,0
1,1,0.40625,80.18309021,35.73601532,35.75036621,31.48065567,0.150519326,13.41117573,-0.949633777,0.901804328,0.484375,0.00390625
0,1,0,77.74337006,36.17417908,36.33179092,33.24847794,0.137693107,117.6143494,-0.368209064,0.135577917,0.03125,0
1,1,0,76.25074768,36.02980423,35.27201843,32.98035049,0.126955196,43.20372391,-1.427981615,2.039131403,0.0078125,0
0,1,0,77.74337006,36.15941238,36.33179092,33.22105408,0.127391666,108.5124435,-0.368209064,0.135577917,0.0078125,0
3,1,0.24609375,77.74337006,35.18812561,36.33179092,31.55804253,0.176303744,16.96736717,-0.368209064,0.135577917,0.43359375,0
7,1,0.58203125,77.74337006,36.48781204,36.33179092,32.66664124,0.142257214,19.52057266,-0.368209064,0.135577917,0.3046875,0.0234375
2,1,0.37109375,77.74337006,36.48218918,36.33179092,32.6558609,0.134921521,18.22015381,-0.368209064,0.135577917,0.2109375,0.00390625
0,2,0.07421875,80.18309021,36.3522644,35.75036621,31.5893898,0.16269508,11.95665359,-0.949633777,0.901804328,0.046875,0
62,1,0.1875,77.74337006,36.45546722,36.33179092,32.60464859,0.133521661,17.85306549,-0.368209064,0.135577917,0.12109375,0.0234375
2,1,0.8671875,77.74337006,36.03455734,36.33179092,31.28258514,0.161953986,21.17258835,-0.368209064,0.135577917,0.08203125,0
1,1,0.01171875,77.74337006,36.86000061,36.33179092,33.78374863,0.103377864,118.6993942,-0.368209064,0.135577917,0.1796875,0.01171875
0,1,0.01953125,77.74337006,36.80833435,36.33179092,33.71302032,0.103347346,118.0099564,-0.368209064,0.135577917,0.18359375,0.01171875
2,1,0.80859375,77.74337006,37.22247314,36.33179092,31.91882515,0.145301834,16.56531906,-0.368209064,0.135577917,0.12890625,0
11,1,0.71484375,77.74337006,37.46476746,36.33179092,31.78116798,0.140509278,16.53776169,-0.368209064,0.135577917,0.125,0
0,1,0.0078125,74.3316803,35.15140152,33.90945053,31.62117958,0.085298024,0,-2.790549517,7.787166119,0.0546875,0.21875
26,1,0.0078125,74.3316803,35.15756989,33.90945053,31.61780548,0.085079558,0,-2.790549517,7.787166119,0.05078125,0.19921875
45,1,0.0078125,74.3316803,35.12614059,33.90945053,31.58355904,0.084238976,71.30953979,-2.790549517,7.787166119,0.046875,0.2265625
