Count,Locations,Forest,Lag_temp_center,Pop,Rice,Water
9,Cau Giay,0.015625,4.501616001,184.8144836,0.00390625,0.0078125
1,Cau Giay,0.00390625,4.535704136,184.0726471,0.00390625,0.0078125
0,Ba Dinh,0.015625,1.315782905,469.3703613,0.0234375,0.00390625
8,Ba Dinh,0,1.339685798,442.9537354,0.0078125,0.00390625
0,Ba Dinh,0,1.339685798,430.692627,0.00390625,0
2,Ba Dinh,0,1.199102759,158.4269867,0,0
1,Ba Dinh,0,1.603334785,297.3016968,0,0
0,Ba Dinh,0,1.603334785,290.0679321,0,0.00390625
1,Ba Dinh,0,2.815130711,279.3970947,0,0
0,Ba Dinh,0,3.825834751,249.5388794,0,0
1,Ba Dinh,0,2.985571384,271.7660522,0,0.0078125
0,Ba Dinh,0.07421875,4.34815836,246.013916,0.078125,0
6,Ba Dinh,0,4.554289341,261.1773682,0,0
0,Ba Dinh,0,4.547472477,262.3631897,0,0
5,Ba Dinh,0,4.539927006,263.7922363,0,0
2,Ba Dinh,0,2.156797886,208.6538696,0,0
1,Ba Dinh,0.06640625,4.686666965,247.5036926,0.0625,0
0,Ba Dinh,0,4.860208988,261.3041077,0,0.00390625
0,Ba Dinh,0.06640625,4.686666965,247.9869537,0.0625,0
0,Ba Dinh,0.0234375,4.686666965,250.7303009,0.0390625,0
40,Bac Tu Liem,0.08203125,1.353495002,39.94462967,0.234375,0
38,Bac Tu Liem,0.06640625,1.382852912,43.0580101,0.21875,0
0,Ba Dinh,0.00390625,4.869688511,263.828186,0.0078125,0.00390625
1,Ba Dinh,0.00390625,4.871874332,265.392395,0.0078125,0.00390625
0,Ba Dinh,0.00390625,4.87260294,265.8272095,0.0078125,0.00390625
0,Ba Dinh,0.05078125,4.686666965,253.4403687,0.0546875,0
2,Cau Giay,0.00390625,4.711668491,251.5608521,0.05859375,0.0078125
1,Cau Giay,0.03515625,4.720312595,244.2489929,0.0390625,0.01171875
7,Cau Giay,0.0625,4.71999979,250.0034943,0.0859375,0.0078125
2,Cau Giay,0.06640625,4.71999979,251.8222961,0.0859375,0.0078125
0,Cau Giay,0.0703125,4.71999979,253.0491028,0.0859375,0.0078125
0,Cau Giay,0.0390625,4.674868107,274.8223267,0.02734375,0.0390625
0,Cau Giay,0.0859375,4.72416544,248.9152527,0.1015625,0.01171875
3,Cau Giay,0.14453125,4.728334904,251.7585144,0.10546875,0.01171875
5,Cau Giay,0,3.666906834,163.9315948,0,0
0,Cau Giay,0,3.540846348,172.2785339,0,0
2,Cau Giay,0,3.581003666,175.5083313,0,0
1,Ba Dinh,0.0078125,4.714685917,289.6521606,0.0078125,0.00390625
0,Ba Dinh,0.00390625,4.711512089,290.7271423,0.0078125,0
0,Ba Dinh,0.01171875,4.652578831,291.6023865,0.00390625,0
0,Ba Dinh,0.01171875,4.629454136,290.3041992,0.00390625,0
0,Ba Dinh,0.0234375,4.571314335,287.4789734,0.00390625,0
0,Ba Dinh,0.06640625,4.256407261,287.3814697,0.01171875,0
0,Ba Dinh,0.06640625,4.162889957,289.2252808,0.01171875,0
1,Cau Giay,0,3.347219944,162.8147888,0,0
2,Cau Giay,0,3.46950388,174.4247131,0,0
2,Cau Giay,0,3.504122257,177.1047363,0,0
0,Cau Giay,0,3.536432743,179.7847595,0,0
1,Ba Dinh,0,4.683489323,294.8466187,0,0
0,Cau Giay,0,3.141680241,179.0353699,0,0
0,Ba Dinh,0.00390625,4.603594303,301.5667419,0,0.00390625
0,Cau Giay,0.00390625,3.077696323,178.7958527,0,0
2,Ba Dinh,0.015625,4.616720676,302.659729,0,0.00390625
1,Cau Giay,0.01953125,3.080000401,165.7053528,0,0
40,Ha Dong,0,0.34903565,16.18138123,0.21875,0
1,Ha Dong,0,0.334974676,15.93621254,0.0546875,0.00390625
5,Ha Dong,0,0.339270025,15.98078728,0.0859375,0
5,Ha Dong,0,0.328722388,16.16936111,0.0234375,0.0234375
43,Ha Dong,0,0.333803564,16.13318443,0.03515625,0.01171875
13,Ha Dong,0,0.338098913,16.05723381,0.0625,0.00390625
28,Ha Dong,0,0.342005163,16.09226799,0.08984375,0
175,Ha Dong,0,0.3451294,16.12730408,0.11328125,0
260,Ha Dong,0,0.302942663,16.55483437,0.0234375,0.01953125
23,Ha Dong,0,0.332239538,16.30422974,0.05078125,0.01953125
122,Ha Dong,0,0.313490301,16.60540771,0.03515625,0.01953125
11,Ha Dong,0,0.339662939,16.4276104,0.0625,0.01171875
30,Ha Dong,0.01953125,1.840910316,34.10034561,0.0859375,0.00390625
6,Ha Dong,0.02734375,1.752107978,31.01470184,0.09375,0.00390625
0,Ha Dong,0.01953125,1.660990119,31.14437485,0.0859375,0.00390625
9,Ha Dong,0.015625,1.501249671,25.37517929,0.1015625,0
8,Ha Dong,0.0078125,1.501249671,24.65696335,0.08984375,0
153,Ha Dong,0.0078125,1.381876349,23.86385345,0.1015625,0
0,Ha Dong,0.0078125,1.278517127,23.2585392,0.1171875,0
1,Ha Dong,0.00390625,1.023748755,26.02696991,0.0390625,0
3,Chuong My,0,-1.519803643,9.994040489,0.859375,0.00390625
0,Ha Dong,0,-0.013333892,16.77635384,0.21484375,0.02734375
15,Chuong My,0.00390625,-2.233335018,10.29225922,0.66796875,0.16796875
13,Ha Dong,0.03125,0.111666106,15.21367455,0.34375,0
16,Chuong My,0.01171875,-2.233335018,10.3549118,0.6953125,0.1328125
891,Ha Dong,0.109375,-0.008878326,15.45516968,0.58203125,0.02734375
41,Chuong My,0.0078125,-2.233335018,10.36689472,0.66796875,0.1328125
10,Chuong My,0.00390625,-2.233335018,10.35862827,0.60546875,0.16796875
6,Ha Dong,0.01171875,0.109167479,15.76692581,0.16015625,0.01171875
19,Ha Dong,0.19921875,-0.061757661,14.27815819,0.65234375,0.015625
64,Ha Dong,0.15234375,-1.424165368,10.83071899,0.7890625,0
8,Chuong My,0.0625,-1.608983636,9.979109764,0.4609375,0
137,Chuong My,0.09765625,-1.665624261,10.0130558,0.41796875,0
14,Ha Dong,0.234375,-1.061250329,12.10373497,0.515625,0
27,Ha Dong,0.10546875,-1.532498956,9.083154678,0.42578125,0
4,Ha Dong,0.09765625,-1.491250634,9.041883469,0.39453125,0
14,Ha Dong,0.0703125,-1.357186913,9.527963638,0.109375,0
4,Chuong My,0.11328125,-1.303125024,8.904309273,0.01953125,0
13,Chuong My,0.09765625,-1.342084527,9.047584534,0.23828125,0.00390625
4,Chuong My,0.11328125,-1.309999108,8.939422607,0.0625,0
0,Chuong My,0.08984375,-1.331250787,9.243803978,0.37109375,0.00390625
4,Chuong My,0.09765625,-1.313230157,9.022354126,0.1953125,0.00390625
3,Chuong My,0.109375,-1.28364718,8.933747292,0.08203125,0
0,Chuong My,0.09765625,-1.263124108,8.894968033,0.04296875,0
15,Ha Dong,0.00390625,0.482889563,16.13519287,0.0078125,0
2,Chuong My,0.10546875,-1.224374413,8.877015114,0.1171875,0
1,Chuong My,0.1015625,-1.199479699,8.821383476,0.0703125,0
22,Ha Dong,0,0.387304693,16.2054863,0.0234375,0
28,Ha Dong,0,0.399023443,16.16847992,0.015625,0
11,Chuong My,0.10546875,-1.193647027,8.794475555,0.12890625,0
1,Chuong My,0.39453125,-1.564843774,12.85864449,0.48828125,0.01171875
2,Ha Dong,0,0.36245957,16.14315033,0.01953125,0
9,Chuong My,0.4140625,-1.596250176,12.83756828,0.453125,0.01171875
1,Chuong My,0.18359375,-1.649491906,9.553453445,0.203125,0.00390625
34,Ha Dong,0.05078125,-0.198983759,14.84013462,0.62890625,0.05078125
2,Ha Dong,0.0390625,-0.144689173,15.18659115,0.5390625,0.0390625
62,Ha Dong,0,-0.129998773,15.26545906,0.0234375,0
105,Ha Dong,0,-0.126443475,14.60918427,0.02734375,0
5,Ha Dong,0.09375,0.379843146,13.61803627,0.38671875,0.00390625
87,Ha Dong,0,-0.101564027,14.34409904,0.01953125,0
23,Ha Dong,0.0078125,-0.129998773,14.17211056,0.0078125,0
0,Ha Dong,0.0078125,-0.129998773,14.06196976,0.05078125,0
25,Ha Dong,0.0078125,-0.129998773,14.05905819,0.03125,0
7,Ha Dong,0.0078125,-0.129998773,14.07152367,0.015625,0
44,Ha Dong,0.0078125,-0.129998773,13.97012329,0.0390625,0
20,Ha Dong,0.16796875,0.390001684,12.91434956,0.41015625,0.00390625
21,Ha Dong,0,-0.094453432,13.71178055,0.06640625,0
11,Ha Dong,0.171875,0.390001684,12.96601486,0.375,0.0078125
2,Ha Dong,0.0625,0.32093659,13.38484764,0.37109375,0.00390625
4,Ha Dong,0.15234375,0.390001684,13.06418991,0.34765625,0.0078125
32,Ha Dong,0.15234375,0.390001684,13.01726341,0.3515625,0.0078125
227,Ha Dong,0,-0.141717523,15.80412292,0.34765625,0
167,Ha Dong,0,-0.016717529,13.23086357,0.15625,0
99,Ha Dong,0,-0.035001375,13.37556458,0.09765625,0
1311,Ha Dong,0,-0.036248781,13.51542664,0.0703125,0
97,Ha Dong,0,-0.105390169,15.60584164,0.48046875,0
54,Ha Dong,0,0.339727789,12.1971302,0.08984375,0
1,Ha Dong,0,0.175196081,12.13026237,0.15234375,0
15,Ha Dong,0,0.207186133,12.09159279,0.1328125,0
2,Ha Dong,0,0.285391241,12.10961437,0.08203125,0
27,Chuong My,0.015625,-1.187917352,10.9699192,0.3046875,0.1015625
9,Ha Dong,0.109375,-0.333230585,12.75209618,0.83203125,0
8,Ha Dong,0.0234375,0.510000587,13.51148987,0.10546875,0
10,Ha Dong,0.01953125,0.510000587,13.37817574,0.10546875,0
4,Ha Dong,0.01953125,0.508165717,13.21090317,0.12890625,0
7,Ha Dong,0,0.048750304,11.94049549,0.16015625,0
4,Ha Dong,0.02734375,0.589998603,14.21801186,0.125,0
36,Ha Dong,0.01953125,0.609999061,13.9028616,0.12890625,0
25,Chuong My,0.0078125,-1.21875155,10.69300556,0.46484375,0.27734375
54,Chuong My,0.05859375,-1.483750939,9.85584259,0.54296875,0.0234375
13,Ha Dong,0.1015625,0.219999701,15.30799103,0.2109375,0
80,Ha Dong,0.15625,0.240000159,11.7239666,0.48046875,0
114,Ha Dong,0.109375,0.22574082,15.5898571,0.1484375,0
17,Chuong My,0.0703125,-1.239999413,13.98388672,0.4765625,0.01953125
24,Chuong My,0.01171875,-0.951303124,14.48185158,0.41796875,0.16015625
11,Chuong My,0.01171875,-0.953698754,15.54328728,0.40625,0.1640625
3,Chuong My,0.00390625,-0.31716308,22.63367462,0.09375,0.01953125
24,Chuong My,0.00390625,-0.311482996,23.03661728,0.08984375,0.01953125
2,Chuong My,0.00390625,-0.294454187,24.35389328,0.06640625,0.0078125
0,Chuong My,0.00390625,-0.283097833,24.50769615,0.03515625,0.00390625
3,Chuong My,0.05078125,-0.928491235,31.39916801,0.25,0.0234375
